t,theta,omega,thetaHat,x,pulseX,v,actualV,a,actualA,request,jerk,hz,mode,braking
42.53,0.0004246979398520284,0.00034197190485809725,-0.000036655930984697334,-0.0006332081253688351,-0.0006749999991566302,0.0026549196041617206,0.0026549196041617206,-0.004240389034009025,-0.004240389034008973,-0.004240389034009025,0.424285822697012,70.79785619947654,balance,false
42.54,0.0004302166384949031,0.0007294697115982806,-0.000022977027788981067,-0.0006067994583105978,-0.0006374999992035052,0.0026322159015533704,0.0026322159015533704,-0.0008826610834912528,-0.0008826610834911271,-0.0008826610834912528,0.27187416556840366,70.19242412916374,balance,false
42.550000000000004,0.0004387588316335071,0.0009590873794894788,-0.000014004513472143607,-0.0005804745020937415,-0.0006374999992035052,0.002636185793206773,0.002636185793206773,0.0012706443192780992,0.0012706443192778832,0.0012706443192780992,0.17019959767094722,70.29828790672015,balance,false
42.56,0.00044908006465260394,0.0010928642849328937,-0.000008362271760318256,-0.0005540202441190915,-0.0005999999992503803,0.002656858166717582,0.002656858166717582,0.002621983375847802,0.002621983375847726,0.002621983375847802,0.10558706530523375,70.84955120103079,balance,false
42.57,0.00046042866119719745,0.0011696888255558803,-0.000004915477655286988,-0.0005273029246404441,-0.0005624999992972553,0.002687970859733786,0.002687970859733786,0.003472677691858307,0.0034726776918583835,0.003472677691858307,0.0658710282047531,71.67922301583333,balance,false
42.58,0.00047236178293834347,0.0012130705239297753,-0.000002853838442635632,-0.0005002385594051285,-0.0005624999992972553,0.0027257332830579917,0.0027257332830579917,0.003989881072625249,0.003989881072625264,0.003989881072625249,0.04200080007745084,72.68622097240423,balance,false
42.59,0.00048462552587792137,0.0012373090545044073,-0.0000016403660702864119,-0.00047277366828074764,-0.0005249999993441304,0.00276783555578242,0.00276783555578242,0.004356631287790949,0.00435663128779077,0.004356631287790949,0.02800659457338414,73.80894824645905,balance,false
42.6,0.0004970752397828347,0.0012511591574108907,-9.350987045226832e-7,-0.0004448724199641514,-0.0004874999993910054,0.0028128605930479045,0.0028128605930479045,0.0046183041897853595,0.00461830418978541,0.0046183041897853595,0.019935267010987544,75.00961590837281,balance,false
42.61,0.0005096305061864049,0.0012592814620533516,-5.293646256459007e-7,-0.0004165093713101311,-0.0004499999994378804,0.0028600550770428767,0.0028600550770428767,0.00481993180817063,0.0048199318081706445,0.00481993180817063,0.04516773107828172,76.26813548314522,balance,false
42.62,0.0005222477878484551,0.001264053699182854,-2.9790695526984407e-7,-0.0003876650462885608,-0.0004499999994378804,0.002909035781486867,0.002909035781486867,0.004958289171504358,0.0049582891715042356,0.004958289171504358,0.012807913062177177,77.57428760328432,balance,false
42.63,0.0005349050443035038,0.0012671671619763777,-1.6679747043357556e-7,-0.00035832344814990495,-0.0004124999994847554,0.0029595286696140776,0.0029595286696140776,0.005108290247046244,0.005108290247046211,0.005108290247046244,0.011484149284195222,78.92076462169302,balance,false
42.64,0.0005475903930811296,0.0012696030859832338,-9.29752758335216e-8,-0.0003284702132707132,-0.0003749999995316304,0.0030113750995734673,0.0030113750995734673,0.0052489449410659745,0.005248944941066164,0.0052489449410659745,0.010841232932132065,80.30333608900497,balance,false
42.65,0.0005602972159916286,0.0012715765318326666,-5.1623655232517676e-8,-0.00029809181732374097,-0.0003374999995785054,0.0030645422766276487,0.0030645422766276487,0.005385377535042275,0.005385377535042403,0.005385377535042275,0.010586951531606908,81.72112747888872,balance,false
